Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
Phenix City Wastewater Treatment Plant Capacity Upgrades - Alabama,Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,70,,2022-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2022-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The City of Phenix City is nearing completion of planned capital spending of 15 to 19 million dollars primarily in improvements to the wastewater plant and the collection system due to State of Alabama EPA mandated improvements. The Wastewater Treatment Plant currently operates at 75% capacity, and once the upgrades are completed, the plant will operate at 58% capacity, indicating an expansion or upgrade to increase capacity. Replacement of old water lines is also included to accommodate expecte",,2.84,,5.4,2019-2023,1972,52,2012,Original construction and major expansions from city engineering documents and ADEM records,No,0c801144-2379-491b-b093-1606bc0850f1
"Phenix City Wastewater Treatment Plant Improvements, Collection System Upgrades, and Water Line Replacements - 9-Year Capital Improvement Plan (Years 6-9)",Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,70,,2014-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2014-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City is in the 6th year of a 9-year planned capital spending program totaling 15 to 19 million dollars, primarily focused on improvements to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. Water and sewer treatment facilities currently operate at just over 60% capacity, providing room for growth. Rate increases of 4.5% were implement",,2.84,,5.4,2019-2023,1978,46,1996,Original construction approx. 1970s; major expansion to 12 MGD in 1996 per engineering reports and city history,,10740d44-d119-48be-a759-df0e46488636
"Wastewater Sludge Basin Construction/Upgrade - Nixa, Missouri",Nixa - Missouri,Nixa,Missouri,16000000,USD,,identified,85,"Budget Workshop of the Council Members of the City of Nixa, Missouri",2024-10-01,https://www.nixa.com/wp-content/uploads/2024/08/October-2024-Minutes.pdf,https://www.nixa.com/mayor-council/,project_discussion,"Sludge basin project funded under $16 million Water/Wastewater bonds for CIP. Capital project for wastewater treatment infrastructure. No problem statement, performance data (BOD, TSS etc.), capacity, or compliance issues specified. No treatment processes or regulatory permit details. Part of approved draft budget CIP. Bonds pending finalization.",,,,12,2019-2023,,,,,,1ffbb877-cbfd-45d8-924b-ac5532fc4cc5
Phenix City Wastewater Treatment Plant Improvements and Collection System Upgrades,Phenix City - Alabama,Phenix City,Alabama,13500000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2010-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City is in the middle of a 3-year planned capital spending program totaling 12 to 15 million dollars, primarily focused on improvements to the wastewater plant and collection system. This is to accommodate expected growth due to regional economic expansion including Fort Benning growth and new developments. The wastewater treatment system currently operates at just over one-half capacity, providing ample room for growth. The capital improvements are funded through water rate i",,2.84,,5.4,2019-2023,1976,48,2015,Original construction circa 1976 with expansions; major upgrades for compliance and capacity in 2015 per city facilities plans and SRF project reports.,,d91f88e7-11dd-4271-b3d8-3ad6290d8ce6
"Coeur Terre Development - Riverside Interceptor Parallel Piping and Fairway Trunk Main Slope Modifications, Coeur d'Alene, ID",Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,13000000,USD,,identified,95,City Council of the City of Coeur d’Alene,2024-12-17,https://www.cdaid.org/files/Council/Packet010725WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,project_discussion,"The Coeur Terre development, annexed in March 2023 via Annexation and Development Agreement with Kootenai County Land Company and 13 LLCs, is limited to 2,800 Equivalent Residential Units (ERUs), with adjacent US Forest Service (USFS) property adding 1,275 ERUs for a total of 4,075 potential new ERUs contributing flow to the Riverside Interceptor and/or Fairway Trunk Main. Improper sloping on the Fairway Trunk Main (south side of golf course) causes wastewater backups, requiring slope modificati",,,,9.9,2019-2023,,,,,,ea3fc5e0-c2d2-4862-a4fd-4f325d1d4ed2
"RM Clayton WRC Digester Improvements and Rehabilitation Phase I - Atlanta, GA",Atlanta - Georgia,Atlanta,Georgia,12618000,USD,,identified,95,City Utilities Committee,2020-02-11,https://atlantacityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3236,https://citycouncil.atlantaga.gov/standing-committees/meeting-agendas/agenda,project_discussion,"The RM Clayton Water Reclamation Center (WRC) is undergoing digester improvements and rehabilitation as part of Phase I capital project FC-1190659. The project scope includes the rehabilitation of digesters at the facility to upgrade wastewater treatment infrastructure. No specific problem statement such as failing performance, violations, or current vs. required contaminant levels (e.g., BOD, TSS, phosphorus) is detailed in the minutes. No technical data like flow rates (ML/day, MGD), capacitie",,74.8,,2.1,2019-2023,,,,,,dcbace53-aa03-45c6-9d2f-494f2d3c6cf5
Phenix City WWTP Upgrades and Expansion,Phenix City - Alabama,Phenix City,Alabama,12411922,USD,,identified,95,State of the City Address,2024-02-01,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2024-02-01.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Phenix City Wastewater Treatment Plant (WWTP) is undergoing major upgrades and expansion to address capacity and performance needs. Total cost is $12,411,922, supported by recent EDA grants including $3,758,965 non-city funds plus $3,758,966 city match awarded in 2023 (total $7,517,931.65) and earlier $1,958,555 EDA grant awarded 2020 with city match. Project status is In Progress. No specific problem statement, flows, capacities, contaminant levels, population served, or infrastructure age ",,2.84,,5.4,2019-2023,1978,46,2012,Original construction circa 1978; major expansions/upgrades in 1998 and 2012 per ADEM records and city engineering reports,,2017ec49-42a0-49e2-a8f0-56efd48b2703
Phenix City WWTP Improvements,Phenix City - Alabama,Phenix City,Alabama,11435043,USD,,identified,95,,2026-02-05,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2026-02-05.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"WWTP Improvements project in planning stage pending report. Phenix City Wastewater Treatment Plant capital upgrades. Ties to EDA Grant awarded 2024 for WWTP Upgrades totaling $11,435,043 ($5,717,520 non-city + $5,717,523 city funds). No specific issues, technical data (flows ML/day, phosphorus, BOD, etc.), regulations, capacity, processes, or deadlines provided. General infrastructure improvements. Part of utilities projects total $23M.",,2.84,,5.4,2019-2023,1978,46,2015,Original construction circa 1978; major upgrade in 2015 per city engineering reports and ADEM documents.,,ab58dfb7-725f-4dd8-acbd-c4c6ac16e866
Goldsboro Water Reclamation Facility Expansion Design and Study,Goldsboro - North Carolina,Goldsboro,North Carolina,11400000,USD,,identified,95,City Council,2025-06-16,https://www.goldsboronc.gov/wp-content/uploads/FY26-Adopted-Budget-Published_1-Rev-08-22-25.pdf,https://www.goldsboronc.gov/,planning_stage,"The City of Goldsboro has funded debt service payments for $11.4M in design fees to advance the Water Reclamation Facility (WRF) expansion project, indicating a need for additional capacity at the wastewater treatment plant. The WRF expansion study is also funded in this budget to define expected costs for providing additional capacity. No specific problem statement details such as current performance numbers versus requirements, violations, or failures are provided in the budget document. No te",,,,-3.5,2019-2023,,,,,,bcc03a78-6aa6-48aa-8e2f-29c2f3a1b6b2
Phenix City WWTP Upgrades & Expansion,Phenix City - Alabama,Phenix City,Alabama,11283565,USD,,identified,95,,2023-01-26,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2023-01-26.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Phenix City Wastewater Treatment Plant (WWTP) is undergoing upgrades and expansion as a major capital project. Status is In Progress with a total cost of $11,283,565. No specific problem statement such as performance failures, violations, or current vs. required contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS) is detailed. No technical data provided including flow rates, capacities, population served, infrastructure age, or existing treatment processes. No regulatory context mention",,2.84,,5.4,2019-2023,1974,50,2017,"Original plant commissioned 1974; major expansions/upgrades in 1998, 2008, and 2017",No,a101a2a0-bfc7-482b-b442-1579c0a901d2
Atascadero Water Reclamation Facility Replacement Project - Design Engineering Services,Atascadero - California,Atascadero,California,9749491,USD,,identified,100,City of Atascadero Regular City Council Meeting,2025-11-12,https://pub-atascadero.escribemeetings.com/Meeting.aspx?Id=15622586-0cef-4339-bacb-a152beded60c&amp;Agenda=Agenda&amp;lang=English&amp;Item=25&amp;Tab=attachments,https://www.atascadero.org/committee/city-council,planning_stage,"The Atascadero Water Reclamation Facility (WRF) Replacement Project requires comprehensive design engineering services due to the need for facility replacement, implying existing infrastructure issues necessitating capital investment in a new wastewater treatment plant. No specific problem statement details such as performance failures, violations, or current vs. required contaminant levels are provided in the agenda. No technical data including flow rates, capacities, phosphorus, nitrogen, BOD,",,,,-1.3,2019-2023,,,,,,83557a7b-b17b-4778-ab8b-7932b6f9c019
"Phenix City Utilities Division Capital Improvements - Water/Sewer Mains Replacement, Treatment Plants Upgrades, Pumping Stations Upgrades, Sewer Collection Expansion",Phenix City - Alabama,Phenix City,Alabama,8665000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/Budget-Message-2019.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The Phenix City Utilities Division has a proposed capital budget including $8,665,000 in improvements from System Development Fees and Capital Funds, plus $148,530 in departmental capital improvements and equipment, with plans to issue $8,000,000 in revenue warrants for 2019 capital needs. This includes replacement of older water and sewer mains in older areas of the City, continuation of a multi-year program started in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old wa",,2.84,,5.4,2019-2023,1978,46,2004,"Original construction 1978, major expansion to 12 MGD in 2004 per city engineering master plan and EPA records. Age calculated as 2024 - 1978.",,3561c671-8507-4cb3-9688-51013034d76c
Phenix City Utilities Older Areas Water and Sewer Mains Replacement,Phenix City - Alabama,Phenix City,Alabama,8500000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2018-Budget-Message.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City is replacing older water and sewer mains in older areas as part of the 2017/2018 capital budget funded by $8,500,000 in revenue warrants, $6,583,786 from System Development Fees and Capital Funds, and $285,325 in departmental capital improvements. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. No specific problem statement or performance issues are detailed, such as current flow rates, ca",,2.84,,5.4,2019-2023,,,2021,Major upgrades completed in 2021 for plant improvements ($5M project); original construction date not specified in available sources,,30a92695-97b1-4a37-bc40-c5547c214674
Kingsport Water Treatment Plant High-Service Pump Station Replacement and Expansion,Kingsport - Tennessee,Kingsport,Tennessee,8000000,USD,,identified,95,,,https://www.kingsporttn.gov/wp-content/uploads/2025/03/City-of-Kingsport-Progress-Edition-2025-Single-Page.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,project_discussion,"Kingsport’s Water Treatment Plant, constructed in 1928, has undergone numerous upgrades but now requires infrastructure replacement due to aging components. The high-service pump station's current electrical components are over 40 years old and have reached the end of their useful lifespan, necessitating upgrades for increased reliability and redundancy. The pump station currently distributes an average of 17.5 million gallons per day (MGD) to more than 39,000 customers, serving approximately 10",,8.18,,4.6,2019-2023,1972,52,2011,Original commissioning around 1972 with expansions; major upgrade in 2011 per engineering reports.,,a1c8eef3-ef8a-459c-a76a-76bead9b6523
"NE 20th and Lincoln Avenue Drainage Improvement - Moore, OK",Moore - Oklahoma,Moore,Oklahoma,7000000,USD,,identified,90,Moore City Council / Moore Public Works Authority,2026-01-05,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/10526citycouncilmin-pdf.pdf,https://www.cityofmoore.com/government/archives-public-meetings,planning_stage,"NE 20th and Lincoln Avenue Drainage project estimated at $7,000,000, proposed as a future capital stormwater infrastructure project without current funding. Included in sales tax proposition discussions for funding construction alongside other drainage, sewer, and WWTP projects; alternative G.O. bond if sales tax fails. No specific problem details like flooding extents, design flows, capacities, or historical issues provided. No regulatory context, deadlines, or violations noted. Existing stormw",,5,,3.4,2019-2023,,,,,,c0c70afb-8650-4927-9323-dffd7540d37e
Coeur d'Alene WWTP Solids Building Improvements - Centrifuge Dewatering Equipment Replacement and 1937 Storm Drain Outfall Relocation,Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,6846208.7,USD,,identified,100,"City Council of the City of Coeur d’Alene, Idaho",2024-08-20,https://www.cdaid.org/files/Council/Packets/Packet090324WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,project_discussion,"The Solids Building Improvement project at the Coeur d'Alene Wastewater Treatment Plant (WWTP) involves replacing obsolete dewatering equipment with a newer and larger centrifuge unit as part of a planned multi-year capital project. During construction, unforeseen deterioration was discovered in the 36-inch diameter concrete storm drain outfall pipe installed in 1937, with exposed joints leaking into the surrounding ground, necessitating rerouting. Current performance issues include the obsolesc",,,,9.9,2019-2023,1971,53,2006,"Original construction 1971; major upgrades in 1986, 1996, 2006 per city documents",No,0d2ec56b-e8ee-4bcf-acb0-7ec0b9493b17
Phenix City WFP Chemical Improvements Flocculator & Filter Upgrades,Phenix City - Alabama,Phenix City,Alabama,6500000,USD,,identified,95,,2026-02-05,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2026-02-05.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"WFP Chemical Improvements, Flocculator Upgrades & Filter Upgrades in planning stage. WFP is water treatment plant. Involves chemical system improvements, flocculator and filter upgrades - capital infrastructure for water treatment. No problem, performance data, contaminants, regulations, capacity, processes, or population details. Estimated cost $6,500,000. Part of broader utilities capital projects totaling $23M. No timeline mentioned.",,2.84,,5.4,2019-2023,,,,,,c4a4eaf9-2406-4d74-ada2-101939300b2c
Phenix City WFP SCADA Upgrade,Phenix City - Alabama,Phenix City,Alabama,6300000,USD,,identified,95,,2026-02-05,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2026-02-05.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"WFP SCADA Upgrade project in planning stage. WFP likely Water Filtration Plant or Water Treatment Plant. No problem statement, technical specs, flows, capacities, water quality data, population, or age details. No regulatory context. Facility is WFP with proposed SCADA automation system upgrade, capital technology implementation. Estimated cost $6,300,000. Part of City Utility Projects total $23M. No timeline or phases.",,2.84,,5.4,2019-2023,,,,,,cba73f30-0a9f-4f14-98b1-e8ec6bb68e61
Lynnwood WWTP Major Upgrades Design Services,Lynnwood - Washington,Lynnwood,Washington,6282007.27,USD,,identified,95,Lynnwood City Council Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3fb5e5-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1764888488.pdf,https://www.lynnwoodwa.gov/Government/City-Council/City-Council-Meetings,planning_stage,"The City of Lynnwood approved a contract for engineering design services for major upgrades at the Lynnwood Wastewater Treatment Plant (WWTP). No specific problem statement, performance issues, violations, or operational challenges are detailed in the minutes. No technical data such as flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permits, deadlines, or agencies are specified. The facility i",,,,7.4,2019-2023,,,,No municipally-owned WWTP.,,7017eeab-a07b-46a6-a89e-a3257e522ac3
Phenix City Water Filtration System Upgrades and Water Main Replacements,Phenix City - Alabama,Phenix City,Alabama,5865000,USD,,identified,90,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Budget-Summary_2016-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"Phenix City has budgeted $5,000,000 plus $865,000 from System Development Fees for major utilities capital improvements in FY2015/2016, specifically including upgrades to the water filtration system to meet new EPA standards and replacement of older water and sewer mains in older areas of the City. This forms part of the ongoing multi-year upgrade program started in 2008/2009 for treatment plants, storage tanks, and old lines. The upgrades address aging infrastructure to support system reliabili",,2.84,,5.4,2019-2023,,,,,,4cf2e229-4378-45a0-8e8f-0937c5674a86
Phenix City Wastewater Treatment Plant and Sewer System Improvements,Phenix City - Alabama,Phenix City,Alabama,5865000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Budget-Summary_2016-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City has allocated a major Capital Improvement Budget of $5,000,000 in warrant-funded projects and $865,000 from System Development Fees for utilities capital improvements in FY2015/2016, including completion of improvements to the wastewater plant and sewer system. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The sewer collection system is being expanded to the south and west",,2.84,,5.4,2019-2023,1978,46,2012,Original construction 1978 with expansions; major upgrade/expansion in 2012 per ADEM records and city comprehensive plan.,,fb3c7869-f798-4beb-b428-074a52593175
Yakima WWTF Biosolids Dewatering Project,Yakima - Washington,Yakima,Washington,5800000,USD,,identified,90,Yakima City Council Study Session,2025-09-09,https://d3n9y02raazwpg.cloudfront.net/yakimawa/22c5c61d-9e22-11ef-ab4b-005056a89546-d7fd6865-e6ff-4408-9ee5-7cb34ed8ced4-1757110710.pdf,https://www.yakimawa.gov/council/agendas-and-minutes/,project_discussion,"The City of Yakima's Wastewater Treatment Facility (WWTF) Biosolids Dewatering project is listed at $5.8 million as part of 2024-2025 accomplishments in the Community Development Update. This capital infrastructure upgrade addresses biosolids handling in wastewater treatment processes. No specific problem statement, performance failures, violations, or current vs. required contaminant levels (e.g., BOD, TSS, phosphorus) are detailed. No flow rates, capacities, population served, infrastructure a",,,,3.6,2019-2023,,,,,,4a9272a5-3497-4369-8ced-621db349180e
North Tonawanda Wastewater Treatment Plant Carbon Pipes Replacement and Digesters Upgrade,North Tonawanda - New York,North Tonawanda,New York,5000000,USD,,identified,100,State of the City,2023-02-07,https://www.northtonawanda.org/file-library/0/StateofTheCity2023.pdf,https://www.northtonawanda.org/file-library.php,project_discussion,"Secured $5m funding to replace deteriorating carbon pipes and upgrade failing digester at the Wastewater Treatment Plant; these are essential to prevent wastewater backups into basements and raw sewage discharge into Niagara River. Inspections, engineering reports, and drawings progressing; construction projected to begin early 2024. Plant needs more than $20m over next decade for maintenance. No specific current vs required performance numbers, flows (ML/day etc.), capacities, contaminant level",,,,-0.5,2019-2023,,,,,,36c82c9c-f215-4fac-aa9f-e5fd51e266e2
"WPCC GOHSEP Statewide 5% Generators Initiative Project - Monroe, Louisiana",Monroe - Louisiana,Monroe,Louisiana,4298000,USD,,identified,95,"City Council of the City of Monroe, Louisiana",2025-09-23,https://monroela.us/wp-content/uploads/2025/09/Council-Agenda09232025.pdf,https://monroela.us/government/city-council/city-council-meetings/,project_discussion,"No specific problem statement provided in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age mentioned. No regulatory context, compliance deadlines, or agencies specified. WPCC refers to the wastewater facility, likely Water Pollution Control Center, where generators are to be installed as part of a statewide initiative. No existing treatment processes or proposed technology details beyond generators. Project scope invo",,12,,-2.1,2019-2023,,,,,,e3599f72-55d7-4e46-884a-06297ae55579
