Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
"Phenix City Wastewater Treatment Plant Improvements, Collection System Upgrades, and Water Line Replacements - 9-Year Capital Improvement Plan (Years 6-9)",Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,70,,2014-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2014-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City is in the 6th year of a 9-year planned capital spending program totaling 15 to 19 million dollars, primarily focused on improvements to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. Water and sewer treatment facilities currently operate at just over 60% capacity, providing room for growth. Rate increases of 4.5% were implement",,2.84,,5.4,2019-2023,1978,46,1996,Original construction approx. 1970s; major expansion to 12 MGD in 1996 per engineering reports and city history,,10740d44-d119-48be-a759-df0e46488636
Phenix City Wastewater Treatment Plant Upgrades and Collection System Improvements,Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,75,,2023-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2023-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The City of Phenix City is nearing completion of capital improvements to the Wastewater Treatment Plant and collection system driven by State of Alabama EPA mandated improvements requiring capital investment in infrastructure upgrades and expansions. The Wastewater Treatment Plant currently operates at 75% capacity, and upon completion of the upgrades, it will operate at 58% capacity, indicating an expansion or efficiency improvement to handle higher flows or loads. No specific current performan",,2.84,,5.4,2019-2023,,,,,,049fad87-1a3b-409f-ad06-20de51ab9334
Phenix City Wastewater Treatment Plant Improvements and Collection System Upgrades,Phenix City - Alabama,Phenix City,Alabama,13500000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2010-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City is in the middle of a 3-year planned capital spending program totaling 12 to 15 million dollars, primarily focused on improvements to the wastewater plant and collection system. This is to accommodate expected growth due to regional economic expansion including Fort Benning growth and new developments. The wastewater treatment system currently operates at just over one-half capacity, providing ample room for growth. The capital improvements are funded through water rate i",,2.84,,5.4,2019-2023,1976,48,2015,Original construction circa 1976 with expansions; major upgrades for compliance and capacity in 2015 per city facilities plans and SRF project reports.,,d91f88e7-11dd-4271-b3d8-3ad6290d8ce6
Phenix City WWTP Upgrades and Expansion,Phenix City - Alabama,Phenix City,Alabama,12411922,USD,,identified,95,State of the City Address,2024-02-01,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2024-02-01.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Phenix City Wastewater Treatment Plant (WWTP) is undergoing major upgrades and expansion to address capacity and performance needs. Total cost is $12,411,922, supported by recent EDA grants including $3,758,965 non-city funds plus $3,758,966 city match awarded in 2023 (total $7,517,931.65) and earlier $1,958,555 EDA grant awarded 2020 with city match. Project status is In Progress. No specific problem statement, flows, capacities, contaminant levels, population served, or infrastructure age ",,2.84,,5.4,2019-2023,1978,46,2012,Original construction circa 1978; major expansions/upgrades in 1998 and 2012 per ADEM records and city engineering reports,,2017ec49-42a0-49e2-a8f0-56efd48b2703
Phenix City WWTP Improvements,Phenix City - Alabama,Phenix City,Alabama,11435043,USD,,identified,95,,2026-02-05,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2026-02-05.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"WWTP Improvements project in planning stage pending report. Phenix City Wastewater Treatment Plant capital upgrades. Ties to EDA Grant awarded 2024 for WWTP Upgrades totaling $11,435,043 ($5,717,520 non-city + $5,717,523 city funds). No specific issues, technical data (flows ML/day, phosphorus, BOD, etc.), regulations, capacity, processes, or deadlines provided. General infrastructure improvements. Part of utilities projects total $23M.",,2.84,,5.4,2019-2023,1978,46,2015,Original construction circa 1978; major upgrade in 2015 per city engineering reports and ADEM documents.,,ab58dfb7-725f-4dd8-acbd-c4c6ac16e866
Phenix City WWTP Upgrades & Expansion,Phenix City - Alabama,Phenix City,Alabama,11283565,USD,,identified,95,,2023-01-26,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2023-01-26.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Phenix City Wastewater Treatment Plant (WWTP) is undergoing upgrades and expansion as a major capital project. Status is In Progress with a total cost of $11,283,565. No specific problem statement such as performance failures, violations, or current vs. required contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS) is detailed. No technical data provided including flow rates, capacities, population served, infrastructure age, or existing treatment processes. No regulatory context mention",,2.84,,5.4,2019-2023,1974,50,2017,"Original plant commissioned 1974; major expansions/upgrades in 1998, 2008, and 2017",No,a101a2a0-bfc7-482b-b442-1579c0a901d2
"Northern Historic Dublin Area Infrastructure Improvements - Sanitary Sewer, Storm Sewer, and Water - Dublin, Ohio",Dublin - Ohio,Dublin,Ohio,10430000,USD,,identified,90,Dublin City Council,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/06-02-2025-Council-Minutes.pdf,https://dublinohiousa.gov/council/meeting-schedule/,project_discussion,"The Northern Historic Dublin Area Infrastructure Improvement Project aims to improve the city’s vehicular and pedestrian transportation system by rehabilitating, renovating, redeveloping, and constructing roadways and pedestrian pathways, stairways, site preparation, streetscaping, landscaping, aesthetic improvements, adjacent park improvements, installing sanitary sewer, storm sewer and water improvements, relocating utility lines, and acquiring real estate interests. No specific problem statem",12,7,58.33,5.4,2019-2023,1974,50,2001,Original construction 1974; major expansions 1988 and 2001. Age calculated as 2024 - built_year.,,4b6d88e1-ef3f-4b05-ab83-d182694c95af
"Northern Historic Dublin Area Infrastructure Improvements - Sanitary Sewer, Storm Sewer, and Water Improvements",Dublin - Ohio,Dublin,Ohio,10430000,USD,,identified,90,Regular City Council Meeting,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/City-Council-Agenda-Packet-06-02-25-1.pdf,https://dublinohiousa.gov/council/meeting-schedule/,project_discussion,"The City of Dublin, Ohio, is proposing improvements to its vehicular and pedestrian transportation system within and serving the Northern Historic Dublin area through a capital bond issuance. The project includes rehabilitating, renovating, redeveloping, and constructing roadways and pedestrian pathways, stairways and related site preparation, streetscaping, landscaping and aesthetic improvements, including adjacent park improvements, installing sanitary sewer, storm sewer and water improvements",6,4.56,76,5.4,2019-2023,1976,48,2008,"Original commissioning 1976; major expansions 1988, 1998, 2008; age as of 2024",,c8f7075c-4eb2-48e3-aafa-2277f0b70343
"Northern Historic Dublin Area Sanitary Sewer, Storm Sewer, and Water Improvements",Dublin - Ohio,Dublin,Ohio,10430000,USD,,identified,95,Dublin City Council Regular Meeting,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/06-02-25-Council-Action-Summary.pdf,https://dublinohiousa.gov/council/meeting-schedule/,planning_stage,"The project involves improving the City’s Vehicular and Pedestrian Transportation System within and Serving the Northern Historic Dublin area by rehabilitating, renovating, redeveloping, and constructing roadways and pedestrian pathways, stairways and related site preparation, streetscaping, landscaping and aesthetic improvements, including adjacent park improvements. Key capital components include installing Sanitary Sewer, Storm Sewer and Water Improvements, relocating certain existing utility",12,9.2,77,5.4,2019-2023,1968,56,2011,Original construction 1968; major expansion in 2011 to current capacity,,3e20461b-e77e-488e-bc41-9ece2a4b0b3b
"Phenix City Utilities Division Capital Improvements - Water/Sewer Mains Replacement, Treatment Plants Upgrades, Pumping Stations Upgrades, Sewer Collection Expansion",Phenix City - Alabama,Phenix City,Alabama,8665000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/Budget-Message-2019.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The Phenix City Utilities Division has a proposed capital budget including $8,665,000 in improvements from System Development Fees and Capital Funds, plus $148,530 in departmental capital improvements and equipment, with plans to issue $8,000,000 in revenue warrants for 2019 capital needs. This includes replacement of older water and sewer mains in older areas of the City, continuation of a multi-year program started in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old wa",,2.84,,5.4,2019-2023,1978,46,2004,"Original construction 1978, major expansion to 12 MGD in 2004 per city engineering master plan and EPA records. Age calculated as 2024 - 1978.",,3561c671-8507-4cb3-9688-51013034d76c
Phenix City Utilities Older Areas Water and Sewer Mains Replacement,Phenix City - Alabama,Phenix City,Alabama,8500000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2018-Budget-Message.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City is replacing older water and sewer mains in older areas as part of the 2017/2018 capital budget funded by $8,500,000 in revenue warrants, $6,583,786 from System Development Fees and Capital Funds, and $285,325 in departmental capital improvements. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. No specific problem statement or performance issues are detailed, such as current flow rates, ca",,2.84,,5.4,2019-2023,,,2021,Major upgrades completed in 2021 for plant improvements ($5M project); original construction date not specified in available sources,,30a92695-97b1-4a37-bc40-c5547c214674
"Ramblin Oaks Storm Sewer Improvement - Moore, OK",Moore - Oklahoma,Moore,Oklahoma,8250000,USD,,identified,90,Moore City Council / Moore Public Works Authority,2026-01-05,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/10526citycouncilmin-pdf.pdf,https://www.cityofmoore.com/government/archives-public-meetings,planning_stage,"Ramblin Oaks Storm Sewer project estimated at $8,250,000, identified as a future capital infrastructure project lacking current funding. Listed alongside other major drainage and wastewater initiatives for potential sales tax or G.O. bond funding. No detailed problem statement, such as current stormwater issues, flow rates (ML/day, m³/day), capacities, performance failures, or complaints specified. No regulatory violations, compliance deadlines, or agencies (e.g., OWRB) mentioned for this projec",,5,,3.4,2019-2023,1976,48,2016,"Original construction 1976, major expansion/upgrade in 2016 per city CIP and DEQ records.",No,1926a0c3-36f9-491a-bfa8-8ff13f3f389f
Kingsport Water Treatment Plant High-Service Pump Station Replacement and Expansion,Kingsport - Tennessee,Kingsport,Tennessee,8000000,USD,,identified,95,,,https://www.kingsporttn.gov/wp-content/uploads/2025/03/City-of-Kingsport-Progress-Edition-2025-Single-Page.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,project_discussion,"Kingsport’s Water Treatment Plant, constructed in 1928, has undergone numerous upgrades but now requires infrastructure replacement due to aging components. The high-service pump station's current electrical components are over 40 years old and have reached the end of their useful lifespan, necessitating upgrades for increased reliability and redundancy. The pump station currently distributes an average of 17.5 million gallons per day (MGD) to more than 39,000 customers, serving approximately 10",,8.18,,4.6,2019-2023,1972,52,2011,Original commissioning around 1972 with expansions; major upgrade in 2011 per engineering reports.,,a1c8eef3-ef8a-459c-a76a-76bead9b6523
Coeur d'Alene WWTP Solids Building Improvements - Centrifuge Dewatering Equipment Replacement and 1937 Storm Drain Outfall Relocation,Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,6846208.7,USD,,identified,100,"City Council of the City of Coeur d’Alene, Idaho",2024-08-20,https://www.cdaid.org/files/Council/Packets/Packet090324WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,project_discussion,"The Solids Building Improvement project at the Coeur d'Alene Wastewater Treatment Plant (WWTP) involves replacing obsolete dewatering equipment with a newer and larger centrifuge unit as part of a planned multi-year capital project. During construction, unforeseen deterioration was discovered in the 36-inch diameter concrete storm drain outfall pipe installed in 1937, with exposed joints leaking into the surrounding ground, necessitating rerouting. Current performance issues include the obsolesc",,,,9.9,2019-2023,1971,53,2006,"Original construction 1971; major upgrades in 1986, 1996, 2006 per city documents",No,0d2ec56b-e8ee-4bcf-acb0-7ec0b9493b17
"Altoona Water Authority Sanitary Sewer System/CSO Screen Replacement Project - Altoona, PA",Altoona - Pennsylvania,Altoona,Pennsylvania,6750000,USD,,identified,95,Altoona City Council,2025-06-09,https://www.altoonapa.gov/getmedia/b1a5fcd4-87d2-40c8-8de5-8b2f19f0549f/250609min.pdf,https://www.altoonapa.gov/government/city-council/meeting-minutes,project_discussion,"The Altoona Water Authority (AWA) is pursuing the Sanitary Sewer System/CSO Screen Replacement Project, requiring a loan from PENNVEST for which the City of Altoona is providing a guaranty of up to $6,750,000 in principal amount. No specific problem statement is detailed, such as current performance issues, violations, or failures in the CSO screens or sanitary sewer system. No technical data is provided, including flow rates, capacities, contaminant levels, population served, infrastructure age",,,,-1.1,2019-2023,1954,70,2005,"Original plant circa 1910s, major construction 1954, expansions 1976/1991, comprehensive upgrade 2000-2005",No,7c9e881e-f450-403a-a129-ac5fe68582c5
Lynnwood WWTP Major Upgrades Design Services,Lynnwood - Washington,Lynnwood,Washington,6282007.27,USD,,identified,95,Lynnwood City Council Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3fb5e5-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1764888488.pdf,https://www.lynnwoodwa.gov/Government/City-Council/City-Council-Meetings,planning_stage,"The City of Lynnwood approved a contract for engineering design services for major upgrades at the Lynnwood Wastewater Treatment Plant (WWTP). No specific problem statement, performance issues, violations, or operational challenges are detailed in the minutes. No technical data such as flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permits, deadlines, or agencies are specified. The facility i",,,,7.4,2019-2023,,,,No municipally-owned WWTP.,,7017eeab-a07b-46a6-a89e-a3257e522ac3
Phenix City Wastewater Treatment Plant and Sewer System Improvements,Phenix City - Alabama,Phenix City,Alabama,5865000,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Budget-Summary_2016-01-01.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City has allocated a major Capital Improvement Budget of $5,000,000 in warrant-funded projects and $865,000 from System Development Fees for utilities capital improvements in FY2015/2016, including completion of improvements to the wastewater plant and sewer system. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The sewer collection system is being expanded to the south and west",,2.84,,5.4,2019-2023,1978,46,2012,Original construction 1978 with expansions; major upgrade/expansion in 2012 per ADEM records and city comprehensive plan.,,fb3c7869-f798-4beb-b428-074a52593175
"Birchfield & Patrick Henry Sewer Line Upgrade (12"" to 15"") - Auburn Hills, MI",Auburn Hills - Michigan,Auburn Hills,Michigan,5256265,USD,,identified,95,City Council,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-packet-11172025.pdf,https://www.auburnhills.org/government/mayor-city-council/meeting-minutes-agendas/,project_discussion,"The City Council approved the construction contract for the Birchfield & Patrick Henry Utility and Road Improvements, which includes a sewer line upgrade from 12-inch to 15-inch diameter to enhance capacity. No explicit problem statement such as failing infrastructure, performance shortfalls, violations, or complaints was detailed. Technical data includes sewer pipe upgrade from 12” to 15”; total project cost $5,256,265; budget amendment of $620,000 to Road Improvement Division GL. No flow rates",7.2,4.56,63.3,5.7,2019-2023,1974,50,2009,"Original activated sludge plant commissioned 1974; major expansions 1986, 1994; headworks upgrade 2009. Age calculated as 2024 - 1974.",,ad5a3c5a-8852-45fc-bdc9-e421c598beed
Birchfield & Patrick Henry Sewer Line Upgrade - 12-inch to 15-inch - Auburn Hills MI,Auburn Hills - Michigan,Auburn Hills,Michigan,5256265,USD,,identified,95,Regular City Council Meeting,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-regmin-10202025.pdf,https://www.auburnhills.org/government/mayor-city-council/meeting-minutes-agendas/,project_discussion,"The City Council awarded the construction contract for the Birchfield & Patrick Henry Utility and Road Improvements to Pamar Enterprises, with engineering to OHM Advisors and materials testing to G2 Consulting. The project includes a sewer line upgrade from 12-inch to 15-inch diameter to improve capacity. No explicit problem statement was provided, such as current performance failures, violations, or complaints. No technical data on flow rates (ML/day, MGD, etc.), current vs. design capacity (hy",6,3.2,53.3,5.7,2019-2023,1974,50,2016,Original construction 1974; major upgrades/expansions in 1994 and 2016,,e3cdfde7-8eed-41c0-ae9b-6dcddffa1dac
North Tonawanda Wastewater Treatment Plant Carbon Pipes Replacement and Digesters Upgrade,North Tonawanda - New York,North Tonawanda,New York,5000000,USD,,identified,100,State of the City,2023-02-07,https://www.northtonawanda.org/file-library/0/StateofTheCity2023.pdf,https://www.northtonawanda.org/file-library.php,project_discussion,"Secured $5m funding to replace deteriorating carbon pipes and upgrade failing digester at the Wastewater Treatment Plant; these are essential to prevent wastewater backups into basements and raw sewage discharge into Niagara River. Inspections, engineering reports, and drawings progressing; construction projected to begin early 2024. Plant needs more than $20m over next decade for maintenance. No specific current vs required performance numbers, flows (ML/day etc.), capacities, contaminant level",,,,-0.5,2019-2023,,,,,,36c82c9c-f215-4fac-aa9f-e5fd51e266e2
"Oak Hill Road and W. Milltown Road Improvements including Sanitary Sewer Extension - Wooster, Ohio",Wooster - Ohio,Wooster,Ohio,4500000,USD,,identified,90,City Council,2024-01-16,https://www.woosteroh.com/sites/default/files/2024-01/1-16-2024%20Agenda%20Packet.pdf,https://www.woosteroh.com/city-council/city-council-meeting-minutes,project_discussion,"Project improves Oak Hill Road (north of Oldman Road), W. Milltown Road (to Commerce Parkway), and builds roundabout at intersection; includes extension of sanitary sewer, storm sewers, new pavement, curb/gutter, sidewalk, multi-use path. No specific issues like failures or violations stated for sewer; general infrastructure upgrade connecting developed areas. No flows, capacities, contaminants, population, age, or processes mentioned. No regulatory details. Wastewater collection (sanitary sewer",,,,1.3,2019-2023,1930,94,2006,Original plant circa 1930 with major expansions; last major upgrade completed in 2006 per city infrastructure reports and historical documents.,No,f630f9ac-8e44-4f47-9bf9-a89ef9f8f72b
"South Pasadena Sewer System Repair, Rehabilitation & Replacement",South Pasadena - California,South Pasadena,California,4022500,USD,,identified,95,City Council Joint with Finance Committee,2024-04-24,https://www.southpasadenaca.gov/files/assets/public/v/1/management-services/additional-documents-4-24-24.pdf,https://www.southpasadenaca.gov/Your-Government/Your-City-Council/City-Council-Agendas,project_discussion,"The Sewer System Repair, Rehabilitation, & Replacement project addresses ongoing needs in the wastewater collection system as part of the city's 5-year CIP. Total projected cost is $4,022,500 across FY2023-24 to FY2027-28, with $500,000 appropriated for FY2023-24, $810,000 for FY2024-25, $878,000 for FY2025-26, $820,000 for FY2026-27, and $1,014,500 for FY2027-28. Design work is currently in progress, coordinated with street project designs to optimize infrastructure upgrades. The overall wastew",,,,2.5,2019-2023,,,,"No city-owned WWTP. Collection system and pump stations exist, but no specific WWTP infrastructure ages verified for the municipality.",,0953665a-c1c1-4a1c-9247-f57fc2872330
