Title,Municipality,City,Province,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
OCWA 2026 Projects - Mount Forest Water/Wastewater Facilities,"Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,380245,CAD,,identified,85,Regular Council Meeting,2025-12-01,https://www.wellington-north.com/sites/default/files/2025-11/12-01-2025%20Council%20Agenda.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,project_discussion,"OCWA 2026 Projects for Mount Forest facilities budgeted at $380,245 under Environmental Services. Pertains to wastewater or water treatment plant operations/upgrades by OCWA. Lacks details on issues, performance numbers, flows (ML/day), capacities, contaminants (e.g., TP, NH3, BOD), population, or infrastructure age. No regulations, permits, or deadlines specified. Included in 2026 capital budget. No scope, technologies, or timelines given. Budget context: part of $585k Environmental Services al",,,,,,,,,,,818af9e9-cbd4-4e5a-9451-e9236a8b84d8
"Alexandria Lagoon Treatment Facility Soil Pre-loading - Granular Material Supply Extension - Alexandria, Ontario","North Glengarry, Township of - Ontario","North Glengarry, Township of",Ontario,296480,CAD,,identified,95,Special Meeting of Council,2025-07-23,https://www.northglengarry.ca/media/2iwcgozq/07-23-2025-special.pdf,https://www.northglengarry.ca/government/council-meeting-information/,project_discussion,"The Alexandria Lagoon Treatment Facility is experiencing capacity constraints with average daily flows consistently exceeding the rated capacity of 3,237 m³/day, limiting growth and development in Alexandria. Geotechnical investigations have identified soft, compressible soils with low bearing capacity and high compressibility at the expansion site, posing risks to planned concrete structures, pumping stations, and underground piping systems, requiring preloading for ground improvement before co",,,,-0.55,2016-2021,,,,,,92db16c3-e40b-4798-a05d-8d445aa5cc05
Centrale de traitement des eaux (CTE) Bromont - Remplacement de la génératrice d'urgence Engineering Services,Bromont - Quebec,Bromont,Quebec,130650,CAD,,identified,70,Conseil Municipal de Bromont,2025-04-07,https://www.bromont.net/wp-content/uploads/2025/04/ODJ-officiel.pdf,https://www.bromont.net/administration-municipale/proces-verbaux/,planning_stage,"The City of Bromont is awarding a contract for professional services to develop plans and specifications, as well as supervision, for the replacement of the emergency generator at the Centrale de traitement des eaux (CTE). No specific problem statement is provided, such as failure history, age of the current generator, or performance issues leading to replacement. No technical data mentioned, including plant capacity, flow rates, population served, water quality parameters, or infrastructure age",,,,,,,,,,,b95b9735-6718-4351-9ad1-41a9745a143c
Prescott Water Treatment Plant Generator Replacement,"Prescott, Town of - Ontario","Prescott, Town of",Ontario,130000,CAD,,identified,90,Prescott Town Council,2025-06-02,https://www.prescott.ca/media/kvinchw2/council-agenda-june-2-2025.pdf,https://www.prescott.ca/town-hall/agendas-minutes/,planning_stage,"The backup generator at the Prescott Water Treatment Plant, installed in 1984, is at the end of its useful service life with OCWA staff facing difficulties sourcing parts for rehabilitation. Identified in OCWA's 10-year capital requirements plan for the Water Treatment Plant. Replacement of the generator and controller estimated at $100,000, plus $30,000 for installation, programming, and on-site modifications for water cooling, totaling $130,000 budget. Project not yet approved for a specific b",,,,0.22,2016-2021,,,,"WWTP described as lagoon/facultative system with upgrades, but no verified years found.",,83112a61-58ff-4f3e-b920-d49cc4f2f37c
"Conestogo River Assimilative Capacity Study - Arthur Wastewater, Township of Wellington North, Ontario","Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,75000,CAD,,identified,95,"Regular Council Meeting, Township of Wellington North",2025-11-17,https://www.wellington-north.com/sites/default/files/2025-11/11-17-2025%20Council%20Agenda.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,planning_stage,"Limited assimilative capacity of Conestogo River is the most critical constraint for Arthur wastewater growth. Existing WWTP discharges only October-May, stores effluent in lagoons June-September, insufficient for future flows. Study required ($75,000) within 2026 to assess river discharge potential, as first step before Municipal Class EA by 2030. Tied to supporting Phase 2 WWTP (2,300 m³/day) and future Phase 3/new WWTP for Stage 4 growth to 4,575 m³/d ADF. Population growth to 12,530+ exacerb",,,,,,,,,,,67f6ef16-e056-4ab8-8ee2-4a2c526c2078
"Limoges Water Treatment Plant Furnace Replacement - Limoges, The Nation Municipality, Ontario",The Nation Municipality - Ontario,The Nation Municipality,Ontario,60000,CAD,,identified,85,The Corporation of The Nation Municipality Regular Council Meeting,2024-06-03,https://nationmun.ca/wp-content/uploads/2024/05/2024-06-03-Agenda-package.pdf,https://nationmun.ca/en/council-staff/council/agendas-minutes,project_discussion,"Limoges Water capital budgets $60,000 for 'WTP Furnace' (Water Treatment Plant furnace replacement) with $0 spent as of April 30, 2024. Related SCADA upgrade $25,000 ($0), GIS/Civil3D $5,000 ($0), water meters $83,570 actual vs $21,089 budget (over). Op expenses for Water Limoges (5520) show surplus due to higher meter revenues from new developments, operations on target. No water quality issues, turbidity, pH, flows, capacity vs actual, population, plant age, or processes mentioned. No complian",,,,,,,,,,,6c7df243-cc09-4b57-8723-b46489038ddd
Centrale de traitement des eaux (CTE) Bromont - Étude géotechnique et environnementale pour ajout et réfection des prises d'eau brute,Bromont - Quebec,Bromont,Quebec,49975,CAD,,identified,85,Conseil municipal de la Ville de Bromont,2025-07-07,https://www.bromont.net/wp-content/uploads/2025/07/PV-seance-ordinaire-2025-07-07_non-ratifie.pdf,https://www.bromont.net/administration-municipale/proces-verbaux/,planning_stage,"The Ville de Bromont awarded a direct (gré à gré) contract to Nvira Environnement inc. for a geotechnical and environmental study concerning the addition and refurbishment of raw water intake structures at the Centrale de traitement des eaux (CTE). This indicates a recognized need to improve or expand the raw water intakes, potentially addressing capacity limitations, reliability issues, or infrastructure aging at the water treatment plant, though specific problems like flow deficiencies or perf",,,,,,,,,,,3feecdda-db87-438f-a696-ca02ee7a1402
Centrale de traitement des eaux (CTE) Bromont - Étude géotechnique et environnementale pour l'ajout et la réfection des prises d'eau brute,Bromont - Quebec,Bromont,Quebec,49975,CAD,,identified,85,Conseil municipal de Bromont,2025-07-07,https://www.bromont.net/wp-content/uploads/2025/07/ODJ_2025-07-07.pdf,https://www.bromont.net/administration-municipale/proces-verbaux/,planning_stage,"The Ville de Bromont is awarding a contract for a geotechnical and environmental study focused on the addition and refurbishment of raw water intakes at the Centrale de traitement des eaux (CTE), the municipality's water treatment plant. This indicates an identified need to upgrade or expand the raw water intake infrastructure, likely due to capacity, reliability, or maintenance issues, though specific problems are not detailed in the agenda. No current performance numbers, flow rates, capacitie",,,,,,,,,,,34501e1a-d5c2-476f-bff3-30287ce37fae
"St-Isidore Wastewater Lagoon Upgrade - St-Isidore, The Nation Municipality, Ontario",The Nation Municipality - Ontario,The Nation Municipality,Ontario,20000,CAD,,identified,85,The Corporation of The Nation Municipality Regular Council Meeting,2024-06-03,https://nationmun.ca/wp-content/uploads/2024/05/2024-06-03-Agenda-package.pdf,https://nationmun.ca/en/council-staff/council/agendas-minutes,project_discussion,"St-Isidore Sewer capital projects budget $20,000 for 'St-Isidore lagoon upgrade' with $0 actual spend as of April 30, 2024. Part of broader 2024 Water & Sewer capital plan. No problem statement, performance numbers, violations, flows (ML/day etc.), capacities, contaminants (TP, NH3, BOD etc.), population, age, or processes specified. No regulatory permit, deadline, or agency details. Facility: St-Isidore lagoon wastewater treatment serving St-Isidore area; upgrade likely for capacity, efficiency",,,,,,,,,,,f7f6099d-09cd-469b-b3b1-4612b8464bf7
"Domaine Escapad Station de Traitement des Eaux Usées Lot 6 491 686 and Poste de Pompage des Eaux Usées Lot 6 498 414 Acquisition with Aqueduc and Égout Sanitaire Servitudes - Adstock, Quebec",Adstock - Quebec,Adstock,Quebec,,CAD,,identified,95,Conseil de la Municipalité d'Adstock,2024-11-11,https://www.adstock.ca/wp-content/uploads/2025/01/2024-11-11.pdf,https://www.adstock.ca/vie-municipale/seances-du-conseil/,project_discussion,"The Municipality of Adstock approved the acquisition of key wastewater treatment, pumping, water distribution, and sanitary sewer infrastructure from the Domaine Escapad developer. No specific problem statement such as failures, violations, or complaints is mentioned. No technical data provided including flow rates, capacities (hydraulic or organic), contaminant levels (TP, TN, NH3-N, BOD, TSS, COD, E. coli, etc.), population served, infrastructure age, or current treatment processes. No regulat",,,,1.1,2016-2021,,,,No verifiable data found on WWTP construction or upgrade history.,,03cd1e81-f4e4-4e88-bb21-bd5b2e430d78
Alexandria Lagoon Expansion Project PW-1006 - Township of North Glengarry,"North Glengarry, Township of - Ontario","North Glengarry, Township of",Ontario,,CAD,,identified,95,Regular Meeting of Council,2026-01-12,https://www.northglengarry.ca/media/y0wk4jjv/01-26-2025-reg-package.pdf,https://www.northglengarry.ca/government/council-meeting-information/,project_discussion,"The Alexandria Lagoon Expansion project (PW-1006) involves contractor prequalification for expansion works at the wastewater lagoon facility in Alexandria, Ontario. Council approved the prequalification recommendations from consultant EVB Engineering Inc. and authorized the competitive bidding process with five pre-qualified contractors, indicating an upcoming procurement opportunity for construction or expansion services related to the lagoon, likely addressing capacity or treatment needs in th",0.475,0.29,61,-0.21,2016-2021,1981,43,2016,Alexandria WWTP originally commissioned ~1981; major upgrades in 2011 (headworks) and 2016 (lagoon liner). Age as of 2024.,,e454d7ec-c1b3-4a47-babe-e86ec68e85e1
"Arthur and Mount Forest Wastewater Systems - Replacement Capital, Extensions, Vertical Infrastructure, and Asset Rehabilitation - Township of Wellington North","Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,,CAD,,identified,95,Special Council Meeting,2025-10-29,https://www.wellington-north.com/sites/default/files/2025-10/10-29-2025%20Special%20Council%20Agenda%20Revised.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,planning_stage,"The Township of Wellington North wastewater systems in Arthur and Mount Forest face substantial capital demands for replacement and growth as per the approved Wastewater Financial Plan, primarily driven by additional asset replacement requirements (~2.3M inflated average annual) from the 2025 State of the Infrastructure Report's lifecycle analysis, with mitigation options phasing to 1.3M/year and reducing rates from 8% to 4-5% annually while eliminating non-growth debt. 2025 estimated customers:",,,,,,,,,,,4622cead-635f-4641-986a-224c76da5cda
Boisbriand Usine d’Épuration Système de Traitement des Boues Mise à Niveau,Boisbriand - Quebec,Boisbriand,Quebec,,CAD,,identified,90,Séance ordinaire du Conseil municipal de la Ville de Boisbriand,2026-01-20,https://www.ville.boisbriand.qc.ca/storage/app/media/ville/vie-democratique/seances-du-conseil/ODJ/2026/2026-01-20_Seance-ordinaire.pdf,https://www.ville.boisbriand.qc.ca/conseil/proces-verbaux,project_discussion,"The municipal council is adopting Règlement RV-1747-1, which modifies Règlement RV-1747 to decree works for upgrading the sludge treatment system and authorizes borrowing for this purpose. This indicates an approved capital project for improving sludge handling at the wastewater treatment plant. No specific problem statement, such as performance failures or violations, is detailed in the agenda. No technical data like flow rates, capacities, contaminant levels, population served, or infrastructu",,,,1.37,2016-2021,,,,,,bc3ade29-de7e-4513-9987-cbf2fcf8bb36
Bruce Power Water Supply and KWTP Intake Replacement,"Kincardine, Municipality of - Ontario","Kincardine, Municipality of",Ontario,,CAD,,identified,90,Council,2025-10-08,https://www.kincardine.ca/media/tfhpjdk5/2022-2026-council-declaration-of-interest.pdf,https://www.kincardine.ca/our-services/council-and-meetings/,project_discussion,"Council discussion on the water supply agreement with Bruce Power, including the replacement of the intake at the Kincardine Water Treatment Plant (KWTP), indicating a planned water infrastructure upgrade project likely requiring procurement for engineering, construction, or related services.",4.76,2.36,50,0.83,2016-2021,1978,46,2002,Original construction 1978; major expansion 2002. Age from built year to 2024.,,7110cc11-1f1b-4df4-8e2a-c4a53900474c
Sewer & Water Project Plans for 2025,"Macdonald, Meredith and Aberdeen Additional, Township of - Ontario","Macdonald, Meredith and Aberdeen Additional, Township of",Ontario,,CAD,,identified,90,Special Council Meeting,2025-04-29,https://echobay.ca/wp-content/uploads/2025/04/April-29-2025-Special-Agenda.pdf,https://echobay.ca/council-minutes/,planning_stage,"Review of Water & Sewer Surplus Summary as part of planning for 2025 sewer and water projects, including potential infrastructure upgrades or developments in wastewater treatment, water treatment, and related systems.",,,,4.9,2016-2021,,,,,,b51dd6e6-20f0-4b36-a131-43d2c6d4c3e2
Boisbriand Usine d’Épuration Ventilation System Refurbishment,Boisbriand - Quebec,Boisbriand,Quebec,,CAD,,identified,85,Séance ordinaire du Conseil municipal de Boisbriand,2025-05-06,https://www.ville.boisbriand.qc.ca/storage/app/media/ville/vie-democratique/seances-du-conseil/ODJ/2025/2025-05-06_Seance-ordinaire.pdf,https://www.ville.boisbriand.qc.ca/conseil/proces-verbaux,project_discussion,"The Boisbriand wastewater treatment plant (usine d’épuration) requires refurbishment of its ventilation system. No specific problem statement details such as failures or performance issues are provided in the agenda item. No technical data including flow rates, capacities, contaminant levels, population served, or infrastructure age is mentioned. No regulatory context, permit violations, or deadlines are specified. The facility is the municipal usine d’épuration, with existing treatment processe",,,,0.9,2016-2021,,,,,,9d12b006-0a48-4094-85b2-0e73e7705909
Boisbriand Usine d'Épuration Ventilation System Réfection,Boisbriand - Quebec,Boisbriand,Quebec,,CAD,,identified,85,Séance Ordinaire du Conseil Municipal,2025-04-01,https://www.ville.boisbriand.qc.ca/storage/app/media/ville/vie-democratique/seances-du-conseil/ODJ/2025/2025-04-01_Seance-ordinaire.pdf,https://www.ville.boisbriand.qc.ca/conseil/proces-verbaux,planning_stage,"The Boisbriand municipal council has issued a notice of motion and deposited Bylaw RV-1777 to authorize refection works on the ventilation system at the Usine d'Épuration (wastewater treatment plant) and finance it through a loan. No specific problem statement such as failures, performance issues, or violations was detailed. No technical data including flow rates, capacities, contaminant levels (e.g., TP, NH3, BOD), population served, or infrastructure age was mentioned. No regulatory context, p",,,,1.29,2016-2021,,,,No verifiable data on construction or upgrade years found.,,b5ebcaea-6e97-4b26-9212-33f0352c3165
Emo Water & Wastewater Non-Compliance Notification,"Emo, Township of - Ontario","Emo, Township of",Ontario,,CAD,,identified,85,Emo Municipal Council,2024-11-13,https://emo.ca/wp-content/uploads/2024/11/19-November-13-2024-amended-Regular-Council-Meeting-Agenda.pdf,https://emo.ca/agendas-minutes/,planning_stage,"OCWA notification of non-compliance for Emo Water & Wastewater Treatment Systems, indicating potential issues with water quality, infrastructure, or operations that may require corrective projects, upgrades, or consultant studies.",,,,0.89,2016-2021,,,,,,74bc0bed-0073-42c5-9863-b4ec1be3951e
Emo Water Treatment Plant Wastewater Tank Design,"Emo, Township of - Ontario","Emo, Township of",Ontario,,CAD,,identified,85,Regular Council Meeting,2024-06-12,https://emo.ca/wp-content/uploads/2024/07/11-June-12-2024-Regular-Council-Meeting-Minutes.pdf,https://emo.ca/agendas-minutes/,planning_stage,"Council has received a quote for the design of a wastewater tank at the Emo Water Treatment Plant, indicating a need for engineering design services related to wastewater management at the water treatment facility. No specific problem statement, performance issues, violations, or technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is mentioned in the minutes. No regulatory context, permit conditions, compliance deadlines, or agencies are re",,,,0.69,2016-2021,,,,,,d5560bdd-1fa8-4a40-ba74-1d0ed84e03e2
"Val Côté Sanitary System Maintenance - Clean Pipes, Empty Lagoon, Valve Replacement","Mattice-Val CÃ´tÃ©, Township of - Ontario","Mattice-Val CÃ´tÃ©, Township of",Ontario,,CAD,,identified,85,Regular Council Meeting,2025-05-15,https://www.matticevalcote.ca/en/_files/ugd/93a5a9_f939a473f13846598a6e4659f5283277.pdf,https://www.matticevalcote.ca/en/conseil-municipal,planning_stage,"The Township of Mattice-Val Côté has identified maintenance needs for the Val Côté sanitary system, which includes cleaning pipes, emptying the lagoon, and changing valves. This work is required to address operational requirements for the wastewater sanitary system, likely a lagoon-based treatment facility serving the Val Côté area. No specific problem statement details such as performance failures, violations, or current vs. required numbers are provided in the minutes. No technical data like f",,,,-1.2,2016-2021,,,,,,942c3cec-e7c6-403a-9eae-545b392d932e
Prince Township Water Transmission Mains Condition Assessment including Gros Cap Pump Station to Water Treatment Plant Raw Water Main,"Prince, Township of - Ontario","Prince, Township of",Ontario,,CAD,,identified,85,"Regular Council Meeting, Township of Prince",2025-07-08,https://www.princetownship.ca/uploads/3/9/8/6/39869797/agenda_pkg_for_july_8th_council_mtg_-_amended_final.pdf,https://www.princetownship.ca/agendas-and-minutes.html,planning_stage,"PUC plans a condition assessment of water transmission mains in Prince Township, including the raw water transmission main from the Gros Cap Pump Station to the Water Treatment Plant. This addresses potential deterioration in the distribution system to ensure ongoing reliability and water quality for drinking water supply. No specific issues, performance numbers, flow rates, capacities, population served, or infrastructure age are detailed. No violations, effluent parameters, or contaminants men",,,,-0.5,2011-2021,,,,No municipal WWTP identified.,,55df5997-66d7-4b24-947b-9ceabec4bdad
"Gros Cap Pumping Station Pump and Motor Control Center (MCC) Replacements - Prince Township, Ontario","Prince, Township of - Ontario","Prince, Township of",Ontario,,CAD,,identified,85,"Regular Council Meeting, Township of Prince",2025-07-08,https://www.princetownship.ca/uploads/3/9/8/6/39869797/agenda_pkg_for_july_8th_council_mtg_-_amended_final.pdf,https://www.princetownship.ca/agendas-and-minutes.html,planning_stage,"The Gros Cap Pumping Station requires upgrades to its aging electrical infrastructure controlling the station's pumps. The project involves removing and replacing the pump and Motor Control Center (MCC) to address deterioration and ensure reliable operation. No specific performance numbers, flow rates, capacities, or contaminant levels are mentioned. The station is part of the water supply system, drawing raw water for transmission to the Water Treatment Plant. No regulatory context, violations,",,,,-1.2,2011-2021,,,,No specific data on WWTP construction or upgrades found in reliable sources.,,e31a042a-f53b-43c9-9300-cd64e290725d
"North Cobalt Lagoon Rehabilitation - Temiskaming Shores, ON","Temiskaming Shores, City of - Ontario","Temiskaming Shores, City of",Ontario,,CAD,,identified,85,Committee of the Whole,2024-04-30,https://www.temiskamingshores.ca/media/40kc40l0/4-a-2024-04-30-cow-agenda-package-compressed-2.pdf,https://www.temiskamingshores.ca/city-hall/mayor-council/council-meetings/,project_discussion,"The North Cobalt Lagoon, a wastewater treatment facility, is undergoing rehabilitation involving supply and installation of required material and equipment. No specific problem statement such as capacity issues, effluent violations, or operational challenges is provided. No technical data including flow rates (ML/day), capacities (hydraulic/organic), contaminant levels (e.g., BOD, TSS, NH3), population served, infrastructure age, or current treatment processes (e.g., lagoon aeration) mentioned. ",5.02,3.27,65,-0.25,2016-2021,1982,42,2018,Original mechanical plant 1982; recent lagoon and headworks upgrades,,ffcd4d41-af16-498a-b416-669b687d6235
Prescott Wastewater Treatment Plant Expansion - Design Coordination,"Prescott, Town of - Ontario","Prescott, Town of",Ontario,,CAD,,identified,80,Town Council,2025-03-17,https://www.prescott.ca/media/id3pbfsn/council-agenda-march-17-2025.pdf,https://www.prescott.ca/town-hall/agendas-minutes/,planning_stage,"Staff will be coordinating the design work required for the expansion of the Wastewater Treatment Plant in 2025 as part of the Strategic Plan under Encouraging Significant Housing Development Priority 1, Objective 1. This project supports expansion of water and sewer services into Augusta Township. No specific current performance numbers, flows, capacities, or contaminant levels are mentioned. No regulatory context, deadlines, or violations detailed. Facility is the Prescott Wastewater Treatment",,,,0.22,2016-2021,,,,,,895825f2-3241-4ae3-8ed8-c51acaa808dc
