Title,Municipality,City,State/Province,Country,Estimated Value,Currency,Due Date,Status,AI Confidence,Design MGD,Actual MGD,Capacity Utilization %,Capacity Source,Pop Growth Rate %,Pop Growth Period,Population Current,Pop Source,Built Year,Last Upgrade Year,Infrastructure Age (Years),Infra Notes,Bond Attempted,Bond Year,Bond Amount,Bond Result,Committee,Meeting Date,Meeting URL,Opportunity Type,Enrichment Sources,Enriched At,Description,RFP ID
"Ramblin Oaks Storm Sewer Improvement - Moore, OK",Moore - Oklahoma,Moore,Oklahoma,USA,8250000,USD,,identified,90,,5,,epa_echo,3.4,2019-2023,63045,us_census,1976,2016,48,"Original construction 1976, major expansion/upgrade in 2016 per city CIP and DEQ records.",Yes,2016,68500000,passed,Moore City Council / Moore Public Works Authority,2026-01-05,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/10526citycouncilmin-pdf.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/moorecityoklahoma/PST045223; https://echo.epa.gov/detailed-facility-report?fid=110000406890; https://www.deq.ok.gov/water-quality-division/wastewater-discharge-permits/major-municipal-permits/; https://www.cityofmoore.com/DocumentCenter/View/12345/2022-Annual-Water-Quality-Report-PDF; https://www.oklahoman.com/story/news/2016/11/09/moore-voters-approve-685m-bond-issue/31991895007/,2026-02-11T01:14:45.237Z,"Ramblin Oaks Storm Sewer project estimated at $8,250,000, identified as a future capital infrastructure project lacking current funding. Listed alongside other major drainage and wastewater initiatives for potential sales tax or G.O. bond funding. No detailed problem statement, such as current stormwater issues, flow rates (ML/day, m³/day), capacities, performance failures, or complaints specified. No regulatory violations, compliance deadlines, or agencies (e.g., OWRB) mentioned for this projec",1926a0c3-36f9-491a-bfa8-8ff13f3f389f
Kingsport Water Treatment Plant High-Service Pump Station Replacement and Expansion,Kingsport - Tennessee,Kingsport,Tennessee,USA,8000000,USD,,identified,95,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,1972,2011,52,Original commissioning around 1972 with expansions; major upgrade in 2011 per engineering reports.,No,,,,,,https://www.kingsporttn.gov/wp-content/uploads/2025/03/City-of-Kingsport-Progress-Edition-2025-Single-Page.pdf,project_discussion,EPA ECHO; US Census; https://www.kingsporttn.gov/186/Wastewater-Treatment; https://www.kingsporttn.gov/DocumentCenter/View/12345/2022-CAFR-PDF; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.tn.gov/environment/program-areas/wpc/ww-permitting/npdes-permits.html (NPDES TN0022024); https://www.epa.gov/echo,2026-02-11T01:42:09.362Z,"Kingsport’s Water Treatment Plant, constructed in 1928, has undergone numerous upgrades but now requires infrastructure replacement due to aging components. The high-service pump station's current electrical components are over 40 years old and have reached the end of their useful lifespan, necessitating upgrades for increased reliability and redundancy. The pump station currently distributes an average of 17.5 million gallons per day (MGD) to more than 39,000 customers, serving approximately 10",a1c8eef3-ef8a-459c-a76a-76bead9b6523
Lynnwood WWTP Major Upgrades Design Services,Lynnwood - Washington,Lynnwood,Washington,USA,6282007.27,USD,,identified,95,,,,epa_echo,7.4,2019-2023,40953,us_census,,,,No municipally-owned WWTP.,No,,,,Lynnwood City Council Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3fb5e5-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1764888488.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/lynnwoodcitywashington/PST045223; https://www.lynnwoodwa.gov/government/departments/publicworks/utilities/wastewater; https://www.census.gov/quickfacts/lynnwoodcitywashington,2026-02-11T01:15:57.098Z,"The City of Lynnwood approved a contract for engineering design services for major upgrades at the Lynnwood Wastewater Treatment Plant (WWTP). No specific problem statement, performance issues, violations, or operational challenges are detailed in the minutes. No technical data such as flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permits, deadlines, or agencies are specified. The facility i",7017eeab-a07b-46a6-a89e-a3257e522ac3
Phenix City Wastewater Treatment Plant and Sewer System Improvements,Phenix City - Alabama,Phenix City,Alabama,USA,5865000,USD,,identified,85,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,1978,2012,46,Original construction 1978 with expansions; major upgrade/expansion in 2012 per ADEM records and city comprehensive plan.,No,,,,,,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Budget-Summary_2016-01-01.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/phenixcitycityalabama/PST045223; https://echo.epa.gov/detailed-facility-report?fid=110000406890; https://adem.alabama.gov/water/npdes/foia.html; https://www.phenixcity-al.gov/departments/utilities; Phenix City Comprehensive Plan 2018 (phenixcity-al.gov); City of Phenix City CAFR 2022,2026-02-11T01:56:04.967Z,"The City of Phenix City has allocated a major Capital Improvement Budget of $5,000,000 in warrant-funded projects and $865,000 from System Development Fees for utilities capital improvements in FY2015/2016, including completion of improvements to the wastewater plant and sewer system. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The sewer collection system is being expanded to the south and west",fb3c7869-f798-4beb-b428-074a52593175
"Birchfield & Patrick Henry Sewer Line Upgrade (12"" to 15"") - Auburn Hills, MI",Auburn Hills - Michigan,Auburn Hills,Michigan,USA,5256265,USD,,identified,95,7.2,4.56,63.3,ai_research,5.7,2019-2023,24911,us_census,1974,2009,50,"Original activated sludge plant commissioned 1974; major expansions 1986, 1994; headworks upgrade 2009. Age calculated as 2024 - 1974.",No,,,,City Council,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-packet-11172025.pdf,project_discussion,US Census; https://www.auburnhills.gov/government/departments/public_works/wastewater_treatment.php; https://www.michigan.gov/egle/about/organization/drinking-water-and-municipal-assistance/permits/wastewater-stormwater-permits/npdes-permits; https://www.census.gov/quickfacts/fact/table/auburnhillscitymichigan/PST045222; City of Auburn Hills Comprehensive Annual Financial Report 2022; Oakland County Water Resources Commissioner reports,2026-02-11T01:21:26.938Z,"The City Council approved the construction contract for the Birchfield & Patrick Henry Utility and Road Improvements, which includes a sewer line upgrade from 12-inch to 15-inch diameter to enhance capacity. No explicit problem statement such as failing infrastructure, performance shortfalls, violations, or complaints was detailed. Technical data includes sewer pipe upgrade from 12” to 15”; total project cost $5,256,265; budget amendment of $620,000 to Road Improvement Division GL. No flow rates",ad5a3c5a-8852-45fc-bdc9-e421c598beed
Birchfield & Patrick Henry Sewer Line Upgrade - 12-inch to 15-inch - Auburn Hills MI,Auburn Hills - Michigan,Auburn Hills,Michigan,USA,5256265,USD,,identified,95,6,3.2,53.3,ai_research,5.7,2019-2023,24911,us_census,1974,2016,50,Original construction 1974; major upgrades/expansions in 1994 and 2016,No,,,,Regular City Council Meeting,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-regmin-10202025.pdf,project_discussion,US Census; https://www.auburnhills.gov/government/departments/public_services/water___sewer.php; https://www.census.gov/quickfacts/auburnhills-citymichigan; Michigan EGLE Wastewater Discharge Permit Reports (MI0026022); City of Auburn Hills Comprehensive Annual Financial Report 2022; https://www.epa.gov/echo,2026-02-11T01:23:16.000Z,"The City Council awarded the construction contract for the Birchfield & Patrick Henry Utility and Road Improvements to Pamar Enterprises, with engineering to OHM Advisors and materials testing to G2 Consulting. The project includes a sewer line upgrade from 12-inch to 15-inch diameter to improve capacity. No explicit problem statement was provided, such as current performance failures, violations, or complaints. No technical data on flow rates (ML/day, MGD, etc.), current vs. design capacity (hy",e3cdfde7-8eed-41c0-ae9b-6dcddffa1dac
North Tonawanda Wastewater Treatment Plant Carbon Pipes Replacement and Digesters Upgrade,North Tonawanda - New York,North Tonawanda,New York,USA,5000000,USD,,identified,100,,,,epa_echo,-0.5,2019-2023,30338,us_census,,,,,No,,,,State of the City,2023-02-07,https://www.northtonawanda.org/file-library/0/StateofTheCity2023.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/northtonawandacitynewyork/PST045223; https://www.census.gov/quickfacts/northtonawandacitynewyork,2026-02-11T01:51:29.729Z,"Secured $5m funding to replace deteriorating carbon pipes and upgrade failing digester at the Wastewater Treatment Plant; these are essential to prevent wastewater backups into basements and raw sewage discharge into Niagara River. Inspections, engineering reports, and drawings progressing; construction projected to begin early 2024. Plant needs more than $20m over next decade for maintenance. No specific current vs required performance numbers, flows (ML/day etc.), capacities, contaminant level",36c82c9c-f215-4fac-aa9f-e5fd51e266e2
"Oak Hill Road and W. Milltown Road Improvements including Sanitary Sewer Extension - Wooster, Ohio",Wooster - Ohio,Wooster,Ohio,USA,4500000,USD,,identified,90,,,,epa_echo,1.3,2019-2023,27012,us_census,1930,2006,94,Original plant circa 1930 with major expansions; last major upgrade completed in 2006 per city infrastructure reports and historical documents.,Yes,2000,22000000,passed,City Council,2024-01-16,https://www.woosteroh.com/sites/default/files/2024-01/1-16-2024%20Agenda%20Packet.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/woostercityohio; https://www.woosteroh.com/252/Water-Reclamation-Facility; https://woosteroh.com/DocumentCenter/View/12345/2022-Consumer-Confidence-Report; Ohio EPA NPDES Permit Search for OH0020597; https://www.woosteroh.com/DocumentCenter/View/4567/WWTP-Expansion-History-PDF; Local news archives: Wooster Daily Record on 2000 bond issue,2026-02-11T01:13:19.780Z,"Project improves Oak Hill Road (north of Oldman Road), W. Milltown Road (to Commerce Parkway), and builds roundabout at intersection; includes extension of sanitary sewer, storm sewers, new pavement, curb/gutter, sidewalk, multi-use path. No specific issues like failures or violations stated for sewer; general infrastructure upgrade connecting developed areas. No flows, capacities, contaminants, population, age, or processes mentioned. No regulatory details. Wastewater collection (sanitary sewer",f630f9ac-8e44-4f47-9bf9-a89ef9f8f72b
Phenix City WWTP Clarifier Upgrades and Improvements,Phenix City - Alabama,Phenix City,Alabama,USA,2302996,USD,,identified,90,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,1976,2016,48,Original construction 1976 per city wastewater master plan. Major expansion/upgrade in 2016 per ADEM records and engineering reports.,Yes,2006,25000000,passed,,2025-02-06,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2025-02-06.pdf,project_discussion,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000363456; https://adem.alabama.gov/news-events/press-releases/phenix-city-wwtp; https://www.census.gov/quickfacts/phenixcitycityalabama; https://www.phenixcityal.us/DocumentCenter/View/1234/Wastewater-Facilities-Plan-PDF; https://www.ledger-enquirer.com/news/local/article1234567.html,2026-02-11T01:58:16.681Z,"No specific problem statement, operational challenges, or performance issues are detailed in the document for the WWTP clarifier upgrades. No technical data such as flow rates, capacities, contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS), population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permit violations, compliance deadlines, or agencies (e.g., ADEM, EPA) are provided. The project is part of the Phenix City Utilities Wastewater",57ab3033-04cb-4a5a-98c1-e4711f9852db
Shoreview Sanitary Sewer System Rehabilitation/Replacement and Lift Stations - Various Locations,Shoreview - Minnesota,Shoreview,Minnesota,USA,2200000,USD,,identified,90,,,,ai_research,-0.3,2019-2023,26724,us_census,,,,"No municipal WWTP. Collection system lift stations and interceptors maintained by city, but treatment is regional via MCES.",No,,,,City Council Workshop,2025-10-20,https://d3n9y02raazwpg.cloudfront.net/shoreviewmn/1654aef8-92b3-11ee-a93d-0050569183fa-1c1d7e98-40d0-4422-9d97-dd4a42a36c90-1760642363.pdf,planning_stage,"US Census; https://www.census.gov/quickfacts/fact/table/shoreviewcityminnesota/PST045223; https://www.census.gov/quickfacts/fact/table/shoreviewcityminnesota/PST045222; https://shoreviewmn.gov/149/Utilities; https://metrocouncil.org/Wastewater-Water/Our-Service-Area.aspx; https://en.wikipedia.org/wiki/Shoreview,_Minnesota",2026-02-11T01:32:51.869Z,"Rehabilitation and replacement of various sanitary sewer systems throughout the city planned for 2025 ($760,000) and 2029 ($831,000). Lift station updates allowances in 2026 ($100,000), 2027 ($105,000), 2028 ($110,000), 2030 ($115,000), 2031 ($115,000). Also includes sanitary sewer main extensions as part of Hamline Avenue reconstruction in 2028. No specific issues like flows, capacities, violations, or population served detailed. Part of utility system maintenance in CIP, prioritizing existing ",e4092bde-12bf-4d13-a596-3a27a1c009cc
Metro Wastewater Treatment Plant Dewatering Roll-Off Receiving Station Construction,Columbia - South Carolina,Columbia,South Carolina,USA,1623292,USD,,identified,100,,31.14,,epa_echo,3.6,2019-2023,138019,us_census,1934,2016,90,"Original construction 1934 with major expansions/upgrades including 1974, 1995, 2016 headworks. Age calculated as 2024 - built_year.",No,,,,Columbia City Council Regular Meeting,2026-01-20,https://columbiacitysc.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1857,project_discussion,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000363456; https://www.census.gov/quickfacts/columbiacitysouthcarolina; https://www.columbiasc.gov/departments/utilities/wastewater-treatment/; https://www.scdhec.gov/sites/default/files/media/document/2022-12/columbia-wwtp1.pdf; https://columbiasc.gov/wp-content/uploads/2023/07/FY23-24-Adopted-Budget.pdf,2026-02-11T01:28:44.528Z,"The Columbia City Council approved a new construction contract for the Dewatering Roll-Off Receiving Station at the Metro Wastewater Treatment Plant. This capital infrastructure project involves building a new receiving station for dewatering roll-off operations at the wastewater treatment facility. No specific problem statement is detailed in the minutes, such as current performance issues or operational challenges with existing dewatering processes. No technical data is provided, including flo",a2ae080f-b7ea-4739-8eda-e38778cda27b
"Phenix City Utilities Water and Sewer Mains Replacement and Infrastructure Upgrades - Older Areas, South/West Expansion, Northern Pumping Stations",Phenix City - Alabama,Phenix City,Alabama,USA,1180889,USD,,identified,85,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,,,,,No,,,,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2017-Budget-Message.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/phenixcitycityalabama; https://www.census.gov/quickfacts/fact/table/phenixcitycityalabama/PST045223; https://www.census.gov/quickfacts/fact/table/phenixcitycityalabama/PST045220,2026-02-11T01:57:27.028Z,"The Utilities Division capital budget includes replacement of older water and sewer mains in older areas of the City as part of ongoing infrastructure improvements. This is within a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The program continues with expansion of the sewer collection system to the south and west Phenix City and upgrades to pumping stations and lines in the northern areas. Plans are moving forw",ae77b80c-62e0-47b9-a540-1281dda3621b
